ID,Hydrogel-forming ability,Chemdraw_smiles
Nuthanakanti_2020_3a,Nongelator,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2C)C(NC2=O)=O)COC(CCCCCCCCCCC)=O)O
Nuthanakanti_2020_3b,Gelator,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2C)C(NC2=O)=O)COC(CCCCCCCCCCCCC)=O)O
Nuthanakanti_2020_3c,Gelator,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=C(C)C2=O
Nuthanakanti_2020_4a,Nongelator,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=CC2=O
Nuthanakanti_2020_4b,Gelator,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=CC2=O
Nuthanakanti_2020_4c,Gelator,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2)C(NC2=O)=O)COC(CCCCCCCCCCCCCCC)=O)O
Seela_2011_1,Gelator,NC1=NC=NC2=C1C(C3=CN(CC4=CC=CC=C4)N=N3)=NN2[C@H]5C[C@H](O)[C@@H](CO)O5
Seela_2011_2,Gelator,O[C@H]1C[C@H](N2N=C(N3N=NC(CC4=CC=CC=C4)=C3)C5=C2N=CN=C5N)O[C@@H]1CO
Seela_2011_3,Nongelator,NC1=NC=NC2=C1C(C#CCCCCC3=CN(CC4=CC=CC=C4)N=N3)=NN2[C@H]5C[C@H](O)[C@@H](CO)O5
Seela_2011_4,Nongelator,NC1=NC=NC2=C1C(C#CCN(CC3=CN(CC4=CC=CC=C4)N=N3)CC5=CN(CC6=CC=CC=C6)N=N5)=NN2[C@H]7C[C@H](O)[C@@H](CO)O7
Seela_2011_13,Nongelator,NC1=NC=NC2=C1C(C3=CN(CC4=CC=CC=C4)N=N3)=CN2[C@H]5C[C@H](O)[C@@H](CO)O5
Jung_2005,Gelator,O[C@H]1C[C@H](N(C=C2C3CN(CC4=CC=CC=C4)N=N3)C(NC2=O)=O)O[C@@H]1CO
Sreenivasachary_2005,Gelator,O[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(N)NC3=O)C(NN)=O)O
Buerkle_2009_b,Nongelator,O=C(C)OC[C@H]1O[C@H]([C@@H]([C@@H]1OC(C)=O)OC(C)=O)N2C=NC3=C2N=C(N)NC3=O
Buerkle_2012_8BrG,Nongelator,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C(Br)=N2
Buerkle_2012_8OMeG,Gelator,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C(OC)=N2
Buerkle_2012_8BrTAcG,Nongelator,O=C1C2=C(N(C(Br)=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COC(C)=O)OC(C)=O)OC(C)=O)N=C(N)N1
Buerkle_2012_8OMeTAcG,Gelator,O=C1C2=C(N(C(OC)=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COC(C)=O)OC(C)=O)OC(C)=O)N=C(N)N1
Xiao_2018_2,Gelator,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CNN)O3)C=N2
Xiao_2018_4,Nongelator,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CN)O3)C=N2
Xiao_2018_5,Nongelator,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CNO)O3)C=N2
Xiao_2019_2,Gelator,O[C@@H]1[C@H](O)[C@@H](C(O)=O)O[C@H]1N2C=NC(C3=O)=C2N=C(N3)N
Xiao_2019_3,Nongelator,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](C(NO)=O)O3)C=N2
Jia_2018_UC8,Nongelator,O=C1NC(C(C2=CC3=C(C=C2)N(CCCCCCCC)C4=C3C=CC=C4)=CN1[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O)=O
Jia_2018_UC12,Nongelator,O=C1NC(C(C2=CC3=C(N(C4=C3C=CC=C4)CCCCCCCCCCCC)C=C2)=CN1[C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)=O
Jia_2018_UC16,Nongelator,O=C1NC(C(C2=CC3=C(N(C4=C3C=CC=C4)CCCCCCCCCCCCCCCC)C=C2)=CN1[C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)=O
Tang_2019_ArabinoC,Nongelator,O=C1N=C(C=CN1[C@@H]2O[C@@H]([C@H]([C@@H]2O)O)CO)N
Tang_2019_DideoxyC,Nongelator,O=C1N=C(N)C=CN1[C@@H]2O[C@H](CO)CC2
Peters_2014_3,Nongelator,O=C1C2=C(N=CN1)N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C=N2
Plank_2016_2,Gelator,O=C1C2=C(N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CI)O)O)N=C(N1)N
Du2021_L_G,Gelator,O=C1C2=C(N=C(N1)N)N([C@@H]3[C@@H](O)[C@@H](O)[C@H](CO)O3)C=N2
