ID,PCA1,PCA2,GEL,Kmeans,Full Name,Chemdraw_smiles,ID_index,Code
Park_2007_2d,-1.1500613825846355,0.4256173359521838,Gelator,3,Gelator 3,O=C(C(C1=CN(CC2=CC=C(CCCC)C=C2)N=N1)=CN3[C@H]4[C@H](O)[C@@H]([C@H](O4)CO)O)NC3=O,31,2
Skilling_2018_5a,1.9785664711550797,0.07595764396977717,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCCCCCC)=O)=N1,32,5
Skilling_2018_5b,1.9006371107980866,0.08702064798472317,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCCCC)=O)=N1,33,5
Skilling_2018_5c,1.745826673576911,-0.13436181393591645,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(OCC(C)C)=O)=N1,34,5
Skilling_2018_6a,2.123644608822633,0.3290481271387648,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCCCCCCCC)=O)=N1,35,5
Skilling_2018_6b,2.107765119510208,0.3306479606405211,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCCCCCC)=O)=N1,36,5
Skilling_2018_6c,2.05406404289039,0.3345772626464878,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCCCC)=O)=N1,37,5
Skilling_2018_6d,2.0076513051737184,0.33785740133490255,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCCCC)=O)=N1,38,5
Skilling_2018_6e,1.860045164157409,0.17427211471712073,Nongelator,2,Nongelator 2,O=C1N([C@@H]2O[C@@H]([C@H](C2(F)F)O)CO)C=CC(NC(NCCCC)=O)=N1,39,5
Nuthanakanti_2020_3a,-0.1337647893075932,0.9340861351329275,Nongelator,0,Nongelator 0,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2C)C(NC2=O)=O)COC(CCCCCCCCCCC)=O)O,40,3
Nuthanakanti_2020_3b,-0.11006866800052094,0.9350954688488967,Gelator,0,Gelator 0,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2C)C(NC2=O)=O)COC(CCCCCCCCCCCCC)=O)O,41,0
Nuthanakanti_2020_3c,-0.0912180920878808,0.9353706290408916,Gelator,0,Gelator 0,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=C(C)C2=O,42,0
Nuthanakanti_2020_4a,0.10129206767952974,0.9887520816323563,Nongelator,0,Nongelator 0,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=CC2=O,43,3
Nuthanakanti_2020_4b,0.12505581687007947,0.9873109760470657,Gelator,0,Gelator 0,O[C@@H]1[C@H](O)[C@@H](COC(CCCCCCCCCCCCC)=O)O[C@H]1N(C(N2)=O)C=CC2=O,44,0
Nuthanakanti_2020_4c,0.1436699323025991,0.9856367744376314,Gelator,0,Gelator 0,O[C@@H]1[C@@H]([C@H](O[C@H]1N(C=C2)C(NC2=O)=O)COC(CCCCCCCCCCCCCCC)=O)O,45,0
Seela_2011_1,-0.07219730736728383,-0.7832272901721375,Gelator,1,Gelator 1,NC1=NC=NC2=C1C(C3=CN(CC4=CC=CC=C4)N=N3)=NN2[C@H]5C[C@H](O)[C@@H](CO)O5,46,1
Seela_2011_2,-0.13095355803403072,-0.6276797345789225,Gelator,1,Gelator 1,O[C@H]1C[C@H](N2N=C(N3N=NC(CC4=CC=CC=C4)=C3)C5=C2N=CN=C5N)O[C@@H]1CO,47,1
Seela_2011_3,0.50732504904684,-0.21372718154814488,Nongelator,1,Nongelator 1,NC1=NC=NC2=C1C(C#CCCCCC3=CN(CC4=CC=CC=C4)N=N3)=NN2[C@H]5C[C@H](O)[C@@H](CO)O5,48,4
Seela_2011_4,0.3249200815926953,-0.40483290110568154,Nongelator,1,Nongelator 1,NC1=NC=NC2=C1C(C#CCN(CC3=CN(CC4=CC=CC=C4)N=N3)CC5=CN(CC6=CC=CC=C6)N=N5)=NN2[C@H]7C[C@H](O)[C@@H](CO)O7,49,4
Seela_2011_13,-0.04597880325773806,-0.49652645937454176,Nongelator,1,Nongelator 1,NC1=NC=NC2=C1C(C3=CN(CC4=CC=CC=C4)N=N3)=CN2[C@H]5C[C@H](O)[C@@H](CO)O5,50,4
Jung_2005,-1.2048528423176976,0.2022224363277911,Gelator,3,Gelator 3,O[C@H]1C[C@H](N(C=C2C3CN(CC4=CC=CC=C4)N=N3)C(NC2=O)=O)O[C@@H]1CO,51,2
Sreenivasachary_2005,-0.563613997946858,-0.5158742764695865,Gelator,1,Gelator 1,O[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(N)NC3=O)C(NN)=O)O,52,1
Buerkle_2009_b,-0.27769115308643993,-0.4282518045605924,Nongelator,1,Nongelator 1,O=C(C)OC[C@H]1O[C@H]([C@@H]([C@@H]1OC(C)=O)OC(C)=O)N2C=NC3=C2N=C(N)NC3=O,53,4
Buerkle_2012_8BrG,-0.13680908460334582,0.15740100902074383,Nongelator,1,Nongelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C(Br)=N2,54,4
Buerkle_2012_8OMeG,-0.47532205794130805,-0.5649121438279104,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C(OC)=N2,55,1
Buerkle_2012_8BrTAcG,-0.06293720198516002,-0.018769525128920342,Nongelator,1,Nongelator 1,O=C1C2=C(N(C(Br)=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COC(C)=O)OC(C)=O)OC(C)=O)N=C(N)N1,56,4
Buerkle_2012_8OMeTAcG,-0.1678689566980446,-0.4831271606367633,Gelator,1,Gelator 1,O=C1C2=C(N(C(OC)=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COC(C)=O)OC(C)=O)OC(C)=O)N=C(N)N1,57,1
Xiao_2018_2,0.08860766362691035,-0.7453493920686147,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CNN)O3)C=N2,58,1
Xiao_2018_4,0.08727897335757404,-0.773884269627424,Nongelator,1,Nongelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CN)O3)C=N2,59,4
Xiao_2018_5,0.16894967325656265,-0.7580219041349183,Nongelator,1,Nongelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](CNO)O3)C=N2,60,4
Xiao_2019_2,-0.7529091765944519,-0.6091264632742723,Gelator,1,Gelator 1,O[C@@H]1[C@H](O)[C@@H](C(O)=O)O[C@H]1N2C=NC(C3=O)=C2N=C(N3)N,61,1
Xiao_2019_3,-0.48992332184034937,-0.5276252600447209,Nongelator,1,Nongelator 1,O=C1C2=C(N=C(N1)N)N([C@H]3[C@H](O)[C@H](O)[C@@H](C(NO)=O)O3)C=N2,62,4
Jia_2018_UC8,0.1578827620047934,1.371057700910733,Nongelator,0,Nongelator 0,O=C1NC(C(C2=CC3=C(C=C2)N(CCCCCCCC)C4=C3C=CC=C4)=CN1[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O)=O,63,3
Jia_2018_UC12,0.2890657166176881,1.4368127851835157,Nongelator,0,Nongelator 0,O=C1NC(C(C2=CC3=C(N(C4=C3C=CC=C4)CCCCCCCCCCCC)C=C2)=CN1[C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)=O,64,3
Jia_2018_UC16,0.37854920020459826,1.4778316288069295,Nongelator,0,Nongelator 0,O=C1NC(C(C2=CC3=C(N(C4=C3C=CC=C4)CCCCCCCCCCCCCCCC)C=C2)=CN1[C@H]5[C@H](O)[C@H](O)[C@@H](CO)O5)=O,65,3
Tang_2019_ArabinoC,0.6369322212341721,-0.23243250822347444,Nongelator,1,Nongelator 1,O=C1N=C(C=CN1[C@@H]2O[C@@H]([C@H]([C@@H]2O)O)CO)N,66,4
Tang_2019_DideoxyC,0.9915473971515606,0.14501065911498148,Nongelator,2,Nongelator 2,O=C1N=C(N)C=CN1[C@@H]2O[C@H](CO)CC2,67,5
Peters_2014_3,-0.3223538770636683,-0.38102784839306675,Nongelator,1,Nongelator 1,O=C1C2=C(N=CN1)N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C=N2,68,4
Plank_2016_2,0.36098570911423583,-0.6021658114450221,Gelator,1,Gelator 1,O=C1C2=C(N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CI)O)O)N=C(N1)N,69,1
Du2021_L_G,-0.4249325098197969,-0.4465578970210031,Gelator,1,Gelator 1,O=C1C2=C(N=C(N1)N)N([C@@H]3[C@@H](O)[C@@H](O)[C@H](CO)O3)C=N2,70,1
